transaction_id,transaction_date,step,hour_of_day,is_weekend,type,amount,amount_category,is_round_amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,amount_to_balance_ratio,latitudeOrig,longitudeOrig,latitudeDest,longitudeDest,distance_km,time_since_last_tx,anomalyFlags,anomaly_categories,anomaly_count,risk_score,risk_category,isFraud
TX000000,2024-01-05 07:00:00,103,7,0,PAYMENT,673.8122974722305,MEDIUM,0,C000000,5608.261034402459,4934.448736930228,M007310,5236.77523560332,5910.58753307555,0.12012496714623126,-29.236980318388984,27.342266575693756,-29.339173620002246,27.634173510848406,30.50490352885435,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000001,2024-01-19 04:00:00,436,4,0,PAYMENT,146.86121707120495,MEDIUM,0,C000001,28.67497526222427,0.0,M004539,172.8946762487562,319.75589331996116,4.948992063968348,-29.447975192138525,27.476058499601177,-29.43626886111556,27.09868536302464,36.56586134298125,24.0,LARGE_BALANCE_DROP_80PCT,BALANCE,1,20,LOW_RISK,0
TX000002,2024-01-12 07:00:00,271,7,0,DEBIT,959.4881039574494,MEDIUM,0,C000002,3135.165942110872,2175.6778381534227,M004483,1962.4015510671777,2921.8896550246272,0.305943027782402,-29.18886938281555,28.444133021136487,-29.6326662538184,28.214545405590883,54.12746382210406,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000003,2024-01-05 11:00:00,107,11,0,TRANSFER,1014.4699640964251,LARGE,0,C000003,4233.3837505082365,3218.9137864118115,M008371,2299.5473015814996,3314.0172656779246,0.2395791274172215,-29.268599161501086,27.52210555629171,-29.121128026997752,28.429114309689705,89.55656245492735,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000004,2024-01-04 00:00:00,72,0,0,PAYMENT,1083.3319912453028,LARGE,0,C000004,1812.245572450995,728.9135812056923,M003241,555.8272539172206,1639.1592451625233,0.5974546458045087,-29.53438556423526,27.519751331048617,-29.272630508867504,27.543694890344888,29.198105667892754,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000005,2024-01-30 05:00:00,701,5,0,PAYMENT,132.57854496609582,MEDIUM,0,C000005,1914.3939040966256,1781.81535913053,M007378,1167.814942092872,1300.3934870589678,0.06921737856768685,-29.832609013038386,27.893520953734672,-29.507648086017625,27.22785907648341,73.76911018756006,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000006,2024-01-01 21:00:00,21,21,0,CASH_IN,1798.187459526983,LARGE,0,C000006,16241.447960822872,18039.635420349856,M003765,1740.6435402027923,0.0,0.11070914087976451,-29.40183968568992,28.45646299479009,-29.315573308179975,27.489755759205835,94.1768459469033,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000007,2024-01-26 15:00:00,615,15,0,TRANSFER,152.49232651512173,MEDIUM,0,C000007,11114.752275282624,10962.259948767503,M005911,5373.053616078171,5525.545942593293,0.013718579070371063,-29.716975273553548,28.4746206689295,-29.99108533813536,27.87393353726737,65.45862962272156,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000008,2024-01-06 02:00:00,122,2,1,CASH_IN,1224.5956635139287,LARGE,0,C000008,9458.308061438096,10682.903724952024,M001403,7952.496925077293,6727.901261563364,0.12945932784514408,-29.87668421346065,27.869486945514474,-29.431431467037488,27.475393504923353,62.46148832312856,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000009,2024-01-20 11:00:00,467,11,1,CASH_OUT,1414.0072546109075,LARGE,0,C000009,2604.4791400448635,1190.471885433956,M004382,2969.9961241381693,4384.003378749077,0.5427052678635377,-29.21630094029616,27.0016305297074,-29.869799153592215,27.915928095294532,114.46841535766376,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000010,2024-01-09 23:00:00,215,23,0,CASH_IN,3958.6023408131136,LARGE,0,C000010,68.966206484665,4027.5685472977784,M005163,1507.3086703138688,0.0,56.57877623650711,-29.80719197040216,28.3509848261526,-29.896509835613866,28.450278348366947,13.796295001328755,24.0,LARGE_BALANCE_DROP_80PCT|FIRST_TIME_LARGE_TX,BALANCE|TEMPORAL,2,35,MEDIUM_RISK,0
TX000011,2024-01-14 19:00:00,331,19,1,PAYMENT,110.37141770668244,MEDIUM,0,C000011,418.11605178397565,307.7446340772932,M008630,879.213775385446,989.5851930921284,0.2633433323225974,-29.75740219833103,27.855356946865573,-29.83600699972235,28.006101739961522,16.970030545255415,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000012,2024-01-20 03:00:00,459,3,1,CASH_OUT,492.0367132771661,MEDIUM,0,C000012,1871.2595035473064,1379.2227902701402,M001087,12074.766334325917,12566.803047603084,0.26280369379614354,-29.356937297948136,27.548994612434903,-29.04689824094517,27.543989049428433,34.47819358367131,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000013,2024-01-04 16:00:00,88,16,0,CASH_OUT,1997.0516516312623,LARGE,0,C000013,79.3407438670999,0.0,M006816,12227.156954430824,14224.208606062086,24.857271111838298,-29.989519959500868,28.24379271152391,-29.94774673161335,28.403629457207302,16.082163899389215,24.0,LARGE_BALANCE_DROP_80PCT,BALANCE,1,20,LOW_RISK,0
TX000014,2024-01-16 13:00:00,373,13,0,CASH_IN,1446.023537823913,LARGE,0,C000014,86.49271344067468,1532.5162512645877,M006470,7769.879567412205,6323.856029588292,16.527359604687582,-29.262572371435958,27.599748689025308,-29.128742562133176,27.848452903051715,28.359393655988487,24.0,LARGE_BALANCE_DROP_80PCT,BALANCE,1,20,LOW_RISK,0
TX000015,2024-01-05 04:00:00,100,4,0,CASH_IN,1973.8895846108173,LARGE,0,C000015,12420.732792197821,14394.622376808638,M007276,4620.703287671535,2646.8137030607177,0.15890613794644104,-29.254803266031697,27.051066759300397,-29.034403627714294,27.19255859779885,28.09680225073982,24.0,UNUSUAL_HOURS_04H,TEMPORAL,1,10,LOW_RISK,0
TX000016,2024-01-28 16:00:00,664,16,1,PAYMENT,904.3557800461108,MEDIUM,0,C000016,6123.573899381802,5219.218119335692,M006739,1182.5944053603046,2086.9501854064156,0.14766019561579524,-29.7722591646532,28.231608334585527,-29.414369607906558,27.748471507790644,61.366944693170076,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000017,2024-01-06 11:00:00,131,11,1,PAYMENT,345.65773065573177,MEDIUM,0,C000017,1847.7588351866193,1502.1011045308876,M005273,5094.815304623286,5440.4730352790175,0.18696745301603387,-29.434657318051084,27.818789101529642,-29.194634032757858,27.980454667365073,30.951718978355036,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000018,2024-01-28 14:00:00,662,14,1,CASH_OUT,2113.9776631184545,LARGE,0,C000018,711.5322055459462,0.0,M007523,1576.7672949206656,3690.7449580391203,2.966852089862679,-29.330794994781044,27.507215307336295,-29.184196529663236,28.257381548725107,74.57682047302765,24.0,LARGE_BALANCE_DROP_80PCT|FIRST_TIME_LARGE_TX,BALANCE|TEMPORAL,2,35,MEDIUM_RISK,0
TX000019,2024-01-13 21:00:00,309,21,1,DEBIT,855.4953532611999,MEDIUM,0,C000019,3583.4683594159965,2727.9730061547966,M006003,1187.0185689471944,2042.5139222083942,0.2386672910681188,-29.1786628053391,27.376338564530776,-29.28781961337615,28.404715180061473,100.52162221486165,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000020,2024-01-15 08:00:00,344,8,0,PAYMENT,813.8313471295482,MEDIUM,0,C000020,26.802513555290158,0.0,M009038,4097.891601465745,4911.722948595294,29.271862254867795,-29.765332430934546,27.890696189123137,-29.248405605246855,27.476124200574578,70.09590569301827,24.0,LARGE_BALANCE_DROP_80PCT,BALANCE,1,20,LOW_RISK,0
TX000021,2024-01-21 12:00:00,492,12,1,CASH_IN,3049.4894062118597,LARGE,0,C000021,13936.582739583419,16986.07214579528,M007606,249.01654212488694,0.0,0.21879614730832486,-29.786321806136076,27.31207432233765,-29.684795402150154,27.233268546118556,13.614059165809264,24.0,FIRST_TIME_LARGE_TX,TEMPORAL,1,15,LOW_RISK,0
TX000022,2024-01-18 06:00:00,414,6,0,CASH_OUT,134.0107507056127,MEDIUM,0,C000022,2679.1372322316333,2545.1264815260206,M003064,149.34454456688766,283.35529527250037,0.0500014510801851,-29.56656400323014,27.485776329835506,-29.18677730663607,27.110742963290825,55.713132864148676,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000023,2024-01-17 02:00:00,386,2,0,TRANSFER,628.2199107603259,MEDIUM,0,C000023,2573.6240388775504,1945.4041281172244,M006315,1782.3700629143734,2410.589973674699,0.24400452309697562,-29.957313613191374,27.954795464120977,-29.543118305197257,28.107531904062423,48.35915393036063,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000024,2024-01-09 00:00:00,192,0,0,PAYMENT,2269.5125799796238,LARGE,0,C000024,2476.3496139684376,206.8370339888138,M001317,1769.8164618258397,4039.3290418054635,0.9161050855248961,-29.318163270422655,28.3223166756089,-29.98642654614353,28.192737379073147,75.35510029724905,24.0,LARGE_BALANCE_DROP_80PCT|FIRST_TIME_LARGE_TX,BALANCE|TEMPORAL,2,35,MEDIUM_RISK,0
TX000025,2024-01-12 13:00:00,277,13,0,CASH_OUT,437.5817977492599,MEDIUM,0,C000025,359.24364062293284,0.0,M002502,6779.845845173232,7217.427642922492,1.2146829212379544,-29.219619045479337,27.7993354925874,-29.432382420956287,27.61405969039225,29.703999330704917,24.0,LARGE_BALANCE_DROP_80PCT,BALANCE,1,20,LOW_RISK,0
TX000026,2024-01-07 17:00:00,161,17,1,PAYMENT,441.8259583084009,MEDIUM,0,C000026,5085.008143797254,4643.182185488853,M007130,404.55025814268964,846.3762164510906,0.08687087118553652,-29.677466768934462,28.13865959744864,-29.641873108795437,27.593888110760442,52.78771482891513,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
TX000027,2024-01-20 04:00:00,460,4,1,CASH_OUT,3702.2629102761525,LARGE,0,C000027,6602.600886671397,2900.337976395245,M008419,394.71626264473525,4096.979172920888,0.5606430451829305,-29.758408640799704,28.144590905644563,-29.969371677729875,28.43135554748195,36.262104338960135,24.0,FIRST_TIME_LARGE_TX|UNUSUAL_HOURS_04H,TEMPORAL,2,25,MEDIUM_RISK,0
TX000028,2024-01-14 02:00:00,314,2,1,PAYMENT,441.6196983347629,MEDIUM,0,C000028,5636.994338492897,5195.374640158135,M003042,478.57941226251125,920.1991105972742,0.0783292198999996,-29.224905970551823,27.99653092898908,-29.137638998041364,28.375021987620492,38.00442349433913,24.0,NORMAL,NO_ANOMALY,0,0,NO_RISK,0
